"","Hour","am_pm","Date","KWH","usage","weekday"
"333",10,"PM",2014-05-11,0.452,"kwh","Sunday"
"334",9,"PM",2014-10-01,0.425,"kwh","Wednesday"
"335",1,"PM",2014-02-27,0.437,"kwh","Thursday"
"336",5,"PM",2014-05-20,0.905,"kwh","Tuesday"
"337",6,"PM",2014-07-02,3.797,"kwh","Wednesday"
"338",12,"PM",2014-11-23,0.284,"kwh","Sunday"
"339",12,"PM",2014-10-05,0.346,"kwh","Sunday"
"340",7,"AM",2014-07-10,2.052,"kwh","Thursday"
"341",8,"PM",2014-07-09,4.531,"kwh","Wednesday"
"342",8,"AM",2014-05-06,0.339,"kwh","Tuesday"
"343",12,"AM",2014-10-08,0.189,"kwh","Wednesday"
"344",12,"AM",2014-02-17,0.367,"kwh","Monday"
"345",2,"PM",2014-10-04,0.47,"kwh","Saturday"
"346",11,"AM",2014-02-28,0.63,"kwh","Friday"
"347",6,"PM",2014-05-03,1.224,"kwh","Saturday"
"348",2,"AM",2014-07-18,0.499,"kwh","Friday"
"349",2,"PM",2014-12-02,0.387,"kwh","Tuesday"
"350",7,"AM",2014-08-05,0.907,"kwh","Tuesday"
"351",8,"PM",2014-03-13,1.216,"kwh","Thursday"
"352",5,"AM",2014-02-05,1.201,"kwh","Wednesday"
"353",10,"PM",2014-09-11,0.399,"kwh","Thursday"
"354",5,"AM",2014-07-15,2.534,"kwh","Tuesday"
"355",11,"AM",2014-02-25,0.54,"kwh","Tuesday"
"356",7,"PM",2014-09-23,1.424,"kwh","Tuesday"
"357",1,"PM",2014-05-28,0.358,"kwh","Wednesday"
"358",5,"PM",2014-09-14,0.674,"kwh","Sunday"
"359",3,"PM",2014-03-09,0.605,"kwh","Sunday"
"360",6,"AM",2014-02-07,1.181,"kwh","Friday"
"361",11,"AM",2014-01-28,0.98,"kwh","Tuesday"
"362",4,"PM",2014-09-16,0.26,"kwh","Tuesday"
"363",10,"AM",2014-02-23,0.662,"kwh","Sunday"
"364",2,"AM",2014-10-21,0.107,"kwh","Tuesday"
"365",10,"PM",2014-02-03,0.612,"kwh","Monday"
"366",4,"PM",2014-05-19,0.314,"kwh","Monday"
"367",9,"PM",2014-05-24,0.301,"kwh","Saturday"
"368",8,"AM",2014-03-18,0.362,"kwh","Tuesday"
"369",10,"AM",2014-02-24,0.523,"kwh","Monday"
"370",12,"PM",2014-05-12,0.376,"kwh","Monday"
"371",1,"AM",2014-07-25,0.509,"kwh","Friday"
"372",6,"AM",2014-07-10,3.11,"kwh","Thursday"
"373",4,"AM",2014-12-25,0.178,"kwh","Thursday"
"374",5,"AM",2014-10-27,0.594,"kwh","Monday"
"375",5,"AM",2014-04-02,0.363,"kwh","Wednesday"
"376",2,"PM",2014-07-05,2.15,"kwh","Saturday"
"377",4,"AM",2014-03-07,0.162,"kwh","Friday"
"378",5,"AM",2014-09-16,0.816,"kwh","Tuesday"
"379",7,"AM",2014-11-08,0.432,"kwh","Saturday"
"380",6,"AM",2014-04-29,0.364,"kwh","Tuesday"
"381",1,"PM",2014-05-01,0.285,"kwh","Thursday"
"382",12,"AM",2014-10-21,0.176,"kwh","Tuesday"
"383",3,"PM",2014-02-13,0.456,"kwh","Thursday"
"384",6,"AM",2014-11-08,0.288,"kwh","Saturday"
"385",10,"AM",2014-10-16,0.274,"kwh","Thursday"
"386",7,"PM",2014-01-12,4.248,"kwh","Sunday"
"387",11,"PM",2014-03-14,0.96,"kwh","Friday"
"388",5,"AM",2014-10-02,0.62,"kwh","Thursday"
"389",2,"PM",2014-02-09,0.826,"kwh","Sunday"
"390",2,"PM",2014-05-21,0.291,"kwh","Wednesday"
"391",4,"AM",2014-10-15,0.142,"kwh","Wednesday"
"392",9,"PM",2014-07-18,0.893,"kwh","Friday"
"393",12,"AM",2014-04-30,0.092,"kwh","Wednesday"
"394",9,"AM",2014-03-19,0.228,"kwh","Wednesday"
"395",5,"PM",2014-06-08,1.879,"kwh","Sunday"
"396",9,"AM",2014-06-05,0.454,"kwh","Thursday"
"397",8,"AM",2014-10-26,0.85,"kwh","Sunday"
"398",5,"AM",2014-04-09,0.284,"kwh","Wednesday"
"399",11,"PM",2014-08-09,1.356,"kwh","Saturday"
"400",6,"PM",2014-11-25,0.725,"kwh","Tuesday"
"401",12,"AM",2014-02-28,0.374,"kwh","Friday"
"402",11,"PM",2014-11-09,0.218,"kwh","Sunday"
"403",3,"PM",2014-01-25,2.16,"kwh","Saturday"
"404",7,"PM",2014-07-27,4.277,"kwh","Sunday"
"405",11,"PM",2014-07-23,1.404,"kwh","Wednesday"
"406",6,"AM",2014-09-11,0.874,"kwh","Thursday"
"407",2,"PM",2014-04-02,0.096,"kwh","Wednesday"
"408",4,"AM",2014-05-06,0.147,"kwh","Tuesday"
"409",10,"AM",2014-08-24,0.619,"kwh","Sunday"
"410",10,"AM",2014-05-15,0.307,"kwh","Thursday"
"411",9,"PM",2014-09-21,0.433,"kwh","Sunday"
"412",1,"PM",2014-01-28,0.72,"kwh","Tuesday"
"413",9,"AM",2014-01-20,0.636,"kwh","Monday"
"414",2,"AM",2014-05-30,0.174,"kwh","Friday"
"415",10,"AM",2014-11-10,0.193,"kwh","Monday"
"416",10,"AM",2014-10-26,0.295,"kwh","Sunday"
"417",3,"AM",2014-07-04,0.451,"kwh","Friday"
"418",8,"PM",2014-09-21,1.084,"kwh","Sunday"
"419",5,"PM",2014-06-20,2.036,"kwh","Friday"
"420",8,"PM",2014-02-11,1.882,"kwh","Tuesday"
"421",11,"AM",2014-09-14,0.353,"kwh","Sunday"
"422",11,"AM",2014-09-23,0.357,"kwh","Tuesday"
"423",3,"AM",2014-10-10,0.139,"kwh","Friday"
"424",1,"PM",2014-01-07,0.672,"kwh","Tuesday"
"425",8,"PM",2014-11-16,0.867,"kwh","Sunday"
"426",1,"PM",2014-07-20,1.57,"kwh","Sunday"
"427",5,"PM",2014-05-09,0.998,"kwh","Friday"
"428",5,"AM",2014-05-25,0.288,"kwh","Sunday"
"429",2,"AM",2014-01-12,0.582,"kwh","Sunday"
"430",9,"PM",2014-06-09,1.102,"kwh","Monday"
"431",1,"PM",2014-09-26,0.235,"kwh","Friday"
"432",8,"AM",2014-12-05,0.427,"kwh","Friday"
"433",9,"PM",2014-03-19,0.49,"kwh","Wednesday"
"434",2,"AM",2014-03-06,0.19,"kwh","Thursday"
"435",7,"PM",2014-02-24,2.484,"kwh","Monday"
"436",5,"PM",2014-08-07,1.326,"kwh","Thursday"
"437",4,"AM",2014-07-04,0.446,"kwh","Friday"
"438",8,"AM",2014-12-16,0.392,"kwh","Tuesday"
"439",8,"AM",2014-06-28,2.457,"kwh","Saturday"
"440",1,"AM",2014-12-01,0.198,"kwh","Monday"
"441",2,"AM",2014-02-17,0.242,"kwh","Monday"
"442",7,"PM",2014-04-28,0.648,"kwh","Monday"
"443",12,"AM",2014-07-14,0.749,"kwh","Monday"
"444",1,"PM",2014-10-26,0.32,"kwh","Sunday"
"445",7,"PM",2014-09-25,1.109,"kwh","Thursday"
"446",6,"PM",2014-04-28,0.479,"kwh","Monday"
"447",8,"AM",2014-04-17,0.138,"kwh","Thursday"
"448",7,"AM",2014-02-12,1.253,"kwh","Wednesday"
